host,isolate,tissue,surface_treatment,score
BTx623,AMP27,blade,Control,5
BTx623,AMP27,blade,Control,4.333
BTx623,AMP27,blade,Control,3.333
BTx623,AMP27,blade,Control,4.333
BTx623,AMP27,blade,Control,5
BTx623,AMP27,blade,Control,5
BTx623,AMP27,blade,Control,5
BTx623,AMP27,blade,Control,5
BTx623,AMP27,blade,Control,4.667
BTx623,AMP27,blade,Control,5
BTx623,AMP27,blade,Imprinting,5
BTx623,AMP27,blade,Imprinting,5
BTx623,AMP27,blade,Imprinting,5
BTx623,AMP27,blade,Imprinting,5
BTx623,AMP27,blade,Imprinting,5
BTx623,AMP27,blade,Imprinting,5
BTx623,AMP27,blade,Imprinting,4
BTx623,AMP27,blade,Imprinting,5
BTx623,AMP27,blade,Imprinting,5
BTx623,AMP27,blade,Imprinting,5
BTx623,AMP27,blade,Tween 20,2.333
BTx623,AMP27,blade,Tween 20,5
BTx623,AMP27,blade,Tween 20,2
BTx623,AMP27,blade,Tween 20,5
BTx623,AMP27,blade,Tween 20,4.667
BTx623,AMP27,blade,Tween 20,5
BTx623,AMP27,blade,Tween 20,5
BTx623,AMP27,blade,Tween 20,5
BTx623,AMP27,blade,Tween 20,3.667
BTx623,AMP27,blade,Tween 20,4.667
BTx623,AMP27,midrib,Control,3.333
BTx623,AMP27,midrib,Control,3
BTx623,AMP27,midrib,Control,2
BTx623,AMP27,midrib,Control,1
BTx623,AMP27,midrib,Control,5
BTx623,AMP27,midrib,Control,1
BTx623,AMP27,midrib,Control,2.333
BTx623,AMP27,midrib,Control,3.667
BTx623,AMP27,midrib,Control,3.667
BTx623,AMP27,midrib,Control,2.667
BTx623,AMP27,midrib,Imprinting,4
BTx623,AMP27,midrib,Imprinting,4.333
BTx623,AMP27,midrib,Imprinting,4.667
BTx623,AMP27,midrib,Imprinting,3.667
BTx623,AMP27,midrib,Imprinting,4.333
BTx623,AMP27,midrib,Imprinting,3
BTx623,AMP27,midrib,Imprinting,3.333
BTx623,AMP27,midrib,Imprinting,3.667
