host,isolate,round,score
BTx623,AMP27,1.0,5.0
BTx623,AMP27,1.0,5.0
BTx623,AMP27,1.0,5.0
BTx623,AMP27,1.0,5.0
BTx623,AMP27,1.0,5.0
BTx623,AMP27,1.0,1.0
BTx623,AMP27,1.0,2.0
BTx623,AMP27,1.0,1.0
BTx623,AMP27,1.0,1.0
BTx623,AMP27,1.0,1.0
BTx623,AMP27,1.0,3.0
BTx623,AMP27,1.0,1.0
BTx623,AMP27,1.0,2.0
BTx623,AMP27,1.0,2.0
BTx623,AMP27,1.0,1.0
BTx623,AMP27,1.0,1.0
BTx623,AMP27,1.0,2.0
BTx623,AMP27,1.0,2.0
BTx623,AMP27,1.0,2.0
BTx623,AMP27,1.0,3.0
BTx623,AMP27,1.0,2.0
BTx623,AMP27,1.0,3.0
BTx623,AMP27,1.0,2.0
BTx623,AMP27,1.0,5.0
BTx623,AMP27,1.0,1.0
BTx623,AMP27,1.0,5.0
BTx623,AMP27,1.0,5.0
BTx623,AMP27,1.0,5.0
BTx623,AMP27,1.0,5.0
BTx623,AMP27,1.0,5.0
BTx623,AMP27,1.0,1.0
BTx623,AMP27,1.0,1.0
BTx623,AMP27,1.0,2.0
BTx623,AMP27,1.0,1.0
BTx623,AMP27,1.0,2.0
BTx623,AMP27,1.0,2.0
BTx623,AMP27,1.0,2.0
BTx623,AMP27,1.0,1.0
BTx623,AMP27,1.0,1.0
BTx623,AMP27,1.0,5.0
BTx623,AMP27,1.0,2.0
BTx623,AMP27,1.0,1.0
BTx623,AMP27,1.0,1.0
BTx623,AMP27,1.0,1.0
BTx623,AMP27,1.0,1.0
BTx623,AMP27,1.0,2.0
BTx623,AMP27,1.0,2.0
BTx623,AMP27,1.0,2.0
BTx623,AMP27,1.0,1.0
BTx623,AMP27,1.0,2.0
BTx623,AMP27,1.0,5.0
BTx623,AMP27,1.0,5.0
BTx623,AMP27,1.0,5.0
BTx623,AMP27,1.0,5.0
BTx623,AMP27,1.0,5.0
BTx623,AMP27,1.0,1.0
BTx623,AMP27,1.0,2.0
BTx623,AMP27,1.0,1.0
BTx623,AMP27,1.0,1.0
BTx623,AMP27,1.0,1.0
BTx623,AMP27,1.0,3.0
BTx623,AMP27,1.0,2.0
BTx623,AMP27,1.0,2.0
BTx623,AMP27,1.0,2.0
BTx623,AMP27,1.0,4.0
BTx623,AMP27,1.0,2.0
BTx623,AMP27,1.0,2.0
BTx623,AMP27,1.0,2.0
BTx623,AMP27,1.0,2.0
BTx623,AMP27,1.0,2.0
BTx623,AMP27,1.0,2.0
BTx623,AMP27,1.0,4.0
BTx623,AMP27,1.0,1.0
BTx623,AMP27,1.0,3.0
BTx623,AMP27,1.0,1.0
BTx623,AMP27,2.0,5.0
BTx623,AMP27,2.0,4.333
BTx623,AMP27,2.0,3.333
BTx623,AMP27,2.0,4.333
BTx623,AMP27,2.0,5.0
BTx623,AMP27,2.0,5.0
BTx623,AMP27,2.0,5.0
BTx623,AMP27,2.0,5.0
BTx623,AMP27,2.0,4.667
BTx623,AMP27,2.0,5.0
BTx623,AMP35,1.0,1.0
BTx623,AMP35,1.0,1.0
BTx623,AMP35,1.0,1.0
BTx623,AMP35,1.0,1.0
BTx623,AMP35,1.0,4.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,1.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,1.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,4.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,1.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,1.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,1.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,1.0
BTx623,AMP35,1.0,3.0
BTx623,AMP35,1.0,1.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,5.0
BTx623,AMP35,1.0,3.0
BTx623,AMP35,1.0,1.0
BTx623,AMP35,1.0,1.0
BTx623,AMP35,1.0,1.0
BTx623,AMP35,1.0,1.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,4.0
BTx623,AMP35,1.0,3.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,1.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,3.0
BTx623,AMP35,1.0,1.0
BTx623,AMP35,1.0,1.0
BTx623,AMP35,1.0,1.0
BTx623,AMP35,1.0,1.0
BTx623,AMP35,1.0,1.0
BTx623,AMP35,1.0,3.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,3.0
BTx623,AMP35,1.0,3.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,1.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,3.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,1.0
BTx623,AMP35,1.0,3.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,1.0,1.0
BTx623,AMP35,1.0,3.0
BTx623,AMP35,1.0,2.0
BTx623,AMP35,2.0,4.333
BTx623,AMP35,2.0,2.0
BTx623,AMP35,2.0,2.333
BTx623,AMP35,2.0,4.0
BTx623,AMP35,2.0,4.333
BTx623,AMP35,2.0,3.333
BTx623,AMP35,2.0,1.0
BTx623,AMP35,2.0,1.0
BTx623,AMP35,2.0,2.333
BTx623,AMP35,,2.0
BTx623,AMP53,1.0,3.0
BTx623,AMP53,1.0,2.0
BTx623,AMP53,1.0,2.0
BTx623,AMP53,1.0,3.0
BTx623,AMP53,1.0,2.0
BTx623,AMP53,1.0,2.0
