host,isolate,round,score
BTx623,AMP27,1,5
BTx623,AMP27,1,5
BTx623,AMP27,1,5
BTx623,AMP27,1,5
BTx623,AMP27,1,5
BTx623,AMP27,1,1
BTx623,AMP27,1,2
BTx623,AMP27,1,1
BTx623,AMP27,1,1
BTx623,AMP27,1,1
BTx623,AMP27,1,3
BTx623,AMP27,1,1
BTx623,AMP27,1,2
BTx623,AMP27,1,2
BTx623,AMP27,1,1
BTx623,AMP27,1,1
BTx623,AMP27,1,2
BTx623,AMP27,1,2
BTx623,AMP27,1,2
BTx623,AMP27,1,3
BTx623,AMP27,1,2
BTx623,AMP27,1,3
BTx623,AMP27,1,2
BTx623,AMP27,1,5
BTx623,AMP27,1,1
BTx623,AMP27,1,5
BTx623,AMP27,1,5
BTx623,AMP27,1,5
BTx623,AMP27,1,5
BTx623,AMP27,1,5
BTx623,AMP27,1,1
BTx623,AMP27,1,1
BTx623,AMP27,1,2
BTx623,AMP27,1,1
BTx623,AMP27,1,2
BTx623,AMP27,1,2
BTx623,AMP27,1,2
BTx623,AMP27,1,1
BTx623,AMP27,1,1
BTx623,AMP27,1,5
BTx623,AMP27,1,2
BTx623,AMP27,1,1
BTx623,AMP27,1,1
BTx623,AMP27,1,1
BTx623,AMP27,1,1
BTx623,AMP27,1,2
BTx623,AMP27,1,2
BTx623,AMP27,1,2
BTx623,AMP27,1,1
BTx623,AMP27,1,2
BTx623,AMP27,1,5
BTx623,AMP27,1,5
BTx623,AMP27,1,5
BTx623,AMP27,1,5
BTx623,AMP27,1,5
BTx623,AMP27,1,1
BTx623,AMP27,1,2
BTx623,AMP27,1,1
BTx623,AMP27,1,1
BTx623,AMP27,1,1
BTx623,AMP27,1,3
BTx623,AMP27,1,2
BTx623,AMP27,1,2
BTx623,AMP27,1,2
BTx623,AMP27,1,4
BTx623,AMP27,1,2
BTx623,AMP27,1,2
BTx623,AMP27,1,2
BTx623,AMP27,1,2
BTx623,AMP27,1,2
BTx623,AMP27,1,2
BTx623,AMP27,1,4
BTx623,AMP27,1,1
BTx623,AMP27,1,3
BTx623,AMP27,1,1
BTx623,AMP27,2,5
BTx623,AMP27,2,4.333
BTx623,AMP27,2,3.333
BTx623,AMP27,2,4.333
BTx623,AMP27,2,5
BTx623,AMP27,2,5
BTx623,AMP27,2,5
BTx623,AMP27,2,5
