accession,growth_stage,score
SH1002,GS6,3
SH1002,GS6,3
SH1002,GS6,4
SH1030,GS6,2
SH1030,GS6,2
SH1030,GS6,2
SH1048,GS6,3
SH1048,GS6,3
SH1048,GS6,4
SH1094,GS6,2
SH1094,GS6,3
SH1094,GS6,4
SH1104,GS6,3
SH1104,GS6,3
SH1104,GS6,4
SH1116,GS6,3
SH1116,GS6,2
SH1116,GS6,3
SH1126,GS6,2
SH1126,GS6,2
SH1126,GS6,2
SH1136,GS6,3
SH1136,GS6,3
SH1136,GS6,3
SH1152,GS6,3
SH1152,GS6,3
SH1152,GS6,3
SH1154,GS6,4
SH1154,GS6,3
SH1154,GS6,4
SH1165,GS6,3
SH1165,GS6,3
SH1165,GS6,3
SH1201,GS6,3
SH1201,GS6,3
SH1201,GS6,3
SH1229,GS6,4
SH1229,GS6,3
SH1229,GS6,4
SH1233,GS6,4
SH1233,GS6,3
SH1233,GS6,4
SH1247,GS6,2
SH1247,GS6,3
SH1247,GS6,3
SH1281,GS6,4
SH1281,GS6,5
SH1281,GS6,4
SH1325,GS6,3
SH1325,GS6,3
SH1325,GS6,4
SH1337,GS6,3
SH1337,GS6,3
SH1337,GS6,3
SH1350,GS6,4
SH1350,GS6,3
SH1350,GS6,3
SH1409,GS6,2
SH1409,GS6,2
SH1409,GS6,2
SH1426,GS6,2
SH1426,GS6,2
SH1426,GS6,2
SH1450,GS6,3
SH1450,GS6,3
SH1450,GS6,3
SH1457,GS6,2
SH1457,GS6,2
SH1457,GS6,2
SH1484,GS6,3
SH1484,GS6,3
SH1484,GS6,4
SH1490,GS6,2
SH1490,GS6,2
SH1490,GS6,2
SH1493,GS6,2
SH1493,GS6,2
SH1493,GS6,2
